TRB,AST,STL,BLK,TOV,PF,PTS
579,187,103,69,145,272,1315
27,4,0,8,7,13,51
368,23,30,56,70,184,535
252,17,14,46,51,121,370
116,6,16,10,19,63,165
601,105,93,45,81,196,751
165,52,28,33,22,65,255
118,45,25,27,17,39,189
47,7,3,6,5,26,66
172,68,19,7,54,135,764
121,15,15,25,35,84,163
104,15,14,23,32,76,135
17,0,1,2,3,8,28
24,0,2,3,8,11,25
113,23,15,3,20,47,109
75,17,7,2,13,28,65
38,6,8,1,7,19,44
7,0,2,5,3,18,14
44,20,11,6,13,52,69
260,855,48,4,265,87,1106
196,96,27,4,78,148,783
226,456,75,3,194,209,997
498,107,48,72,90,156,561
169,45,14,15,47,100,327
28,3,1,5,4,14,104
5,0,0,0,0,3,11
23,3,1,5,4,11,93
513,190,38,47,137,172,1681
88,12,2,30,27,65,129
178,26,16,42,56,120,341
7,0,0,0,3,10,7
710,249,47,61,139,200,1180
684,42,40,127,119,230,745
30,19,4,4,7,18,64
325,84,34,36,71,148,756
15,8,9,5,5,18,40
4,1,2,0,0,4,9
11,7,7,5,5,14,31
333,58,34,22,69,184,349
218,218,67,10,80,109,600
238,513,90,3,200,135,1368
200,41,17,37,31,77,328
327,782,188,5,177,196,1268
32,16,10,7,12,34,76
12,7,5,3,5,15,41
6,6,0,4,1,4,4
14,3,5,0,6,15,31
193,27,18,35,91,181,359
232,26,9,26,56,91,174
97,10,2,10,25,37,87
135,16,7,16,31,54,87
3,1,0,0,0,5,4
212,44,34,34,46,178,273
430,260,80,51,171,231,1511
126,33,29,21,39,101,410
50,10,10,3,14,35,127
76,23,19,18,25,66,283
3,0,0,0,2,2,2
88,28,17,10,16,63,188
147,34,24,6,24,103,240
63,7,10,4,12,44,158
38,2,7,3,5,20,70
25,5,3,1,7,24,88
135,22,5,5,53,78,224
72,111,29,1,53,61,323
61,56,42,5,55,106,197
329,215,30,41,82,90,1098
145,13,5,15,29,79,64
121,13,5,14,22,63,55
24,0,0,1,7,16,9
25,42,5,1,12,29,81
212,79,44,44,57,157,374
160,33,22,24,53,62,305
40,7,4,8,10,15,35
120,26,18,16,43,47,270
914,163,63,25,151,175,1504
13,3,2,5,3,7,2
1,3,1,0,7,0,8
8,12,2,1,4,4,44
113,102,29,3,53,80,593
331,147,93,13,95,162,1249
111,36,27,3,30,46,483
220,111,66,10,65,116,766
178,38,25,5,33,74,249
199,384,89,10,158,146,840
90,111,29,4,68,115,401
89,105,29,4,66,107,388
1,6,0,0,2,8,13
297,760,153,11,234,120,721
330,623,85,51,278,136,2026
30,10,3,6,7,40,57
121,129,37,12,55,76,573
217,62,41,35,69,107,607
266,252,72,28,137,157,1024
158,17,15,18,53,88,288
178,16,22,72,38,117,260
8,6,3,4,5,18,20
606,185,48,44,147,227,1352
346,111,97,38,55,171,401
152,10,17,28,42,126,154
255,419,60,8,178,93,1075
22,25,5,3,18,15,51
28,3,1,4,10,20,45
0,2,0,0,0,2,0
0,0,0,0,0,0,0
117,31,16,7,33,84,258
47,79,18,2,34,37,101
42,64,13,2,26,26,74
5,15,5,0,8,11,27
322,175,92,16,100,173,969
241,36,26,32,53,150,331
21,4,0,4,5,13,8
3,1,0,0,2,3,2
18,3,0,4,3,10,6
657,255,99,120,197,217,1274
10,2,0,0,4,16,16
210,30,8,19,40,120,344
201,26,29,17,32,91,278
7,3,0,2,2,3,12
18,21,4,0,16,14,37
106,77,21,5,44,71,383
75,29,13,2,17,24,280
6,6,2,0,4,2,45
3,1,0,0,2,0,20
66,22,11,2,11,22,215
636,202,71,150,250,274,1971
216,361,76,10,155,177,1082
12,2,3,1,13,21,74
3,2,1,0,3,1,7
62,32,14,5,46,39,223
9,2,2,2,6,4,39
53,30,12,3,40,35,184
102,138,45,25,64,82,361
54,111,25,3,64,64,266
23,32,11,6,23,24,57
2,2,1,1,1,2,2
6,6,1,1,2,8,17
15,24,9,4,20,14,38
153,334,93,13,167,140,1293
75,4,9,16,17,76,53
75,4,9,15,17,73,53
0,0,0,1,0,3,0
23,2,1,4,5,11,32
301,60,32,42,42,164,211
224,29,30,66,65,113,419
454,88,28,44,99,212,663
213,62,35,12,64,143,524
156,51,28,9,44,103,393
57,11,7,3,20,40,131
258,135,64,9,93,110,933
131,43,19,4,37,50,359
127,92,45,5,56,60,574
295,82,28,28,49,145,434
207,92,35,73,41,160,267
356,343,72,34,132,247,877
100,58,18,14,31,77,237
256,285,54,20,101,170,640
306,159,49,14,80,138,565
181,40,22,86,48,144,236
19,13,8,1,5,14,14
265,386,94,9,141,181,1086
61,69,13,8,25,29,158
301,45,27,38,40,87,282
73,151,22,4,70,83,249
295,48,42,42,66,175,840
186,132,54,5,66,136,656
4,5,1,0,5,7,20
182,127,53,5,61,129,636
485,346,111,87,237,197,1941
49,35,18,5,20,39,184
122,34,21,6,37,81,298
317,574,121,35,261,175,1131
350,72,54,54,44,81,154
569,173,105,63,152,183,1113
394,116,59,48,100,120,749
175,57,46,15,52,63,364
67,62,9,4,31,38,91
12,27,6,0,8,16,37
296,69,32,9,79,100,669
94,186,55,11,73,82,405
182,278,61,17,116,146,343
10,7,2,2,7,3,28
147,53,28,9,58,101,453
153,104,34,2,86,87,545
529,164,67,62,142,202,1322
37,64,20,10,30,29,135
11,10,7,0,2,13,22
379,670,155,30,316,207,1793
158,19,12,20,14,77,268
52,4,6,8,7,31,65
106,15,6,12,7,46,203
0,0,0,0,0,2,0
271,43,29,17,43,145,424
90,41,27,9,21,72,180
260,667,79,15,230,190,1309
205,514,64,12,187,152,1129
55,153,15,3,43,38,180
30,52,11,1,18,8,54
22,24,8,0,11,6,33
8,28,3,1,7,2,21
48,22,9,3,16,34,104
149,252,47,17,102,128,1027
313,88,34,23,62,104,676
153,380,53,10,171,150,812
97,257,33,10,105,91,477
56,123,20,0,66,59,335
216,121,28,3,57,124,738
239,47,39,51,46,164,454
273,32,23,26,43,126,264
223,19,18,22,37,92,198
50,13,5,4,6,34,66
51,38,9,0,33,25,106
36,31,5,0,25,21,67
15,7,4,0,8,4,39
267,175,124,36,90,181,697
3,0,1,0,1,3,2
89,12,11,17,14,34,141
41,5,3,10,10,19,83
48,7,8,7,4,15,58
431,242,124,63,133,171,1344
118,58,39,20,43,45,188
174,75,45,17,90,144,1115
187,71,68,23,61,120,572
434,82,90,26,99,170,1045
