TRB,AST,STL,BLK,TOV,PF,PTS
108,40,29,9,28,91,350
715,43,26,158,99,209,704
507,18,18,101,67,145,478
208,25,8,57,32,64,226
80,72,18,9,54,53,357
55,13,10,9,14,25,113
464,158,30,131,145,285,946
400,40,36,39,92,132,689
627,203,115,82,125,281,1135
205,226,69,26,101,222,964
445,193,60,36,108,165,912
175,20,14,21,30,92,244
61,7,10,9,12,37,97
114,13,4,12,18,55,147
260,330,85,24,113,204,805
191,280,79,18,156,153,587
207,51,19,38,95,199,447
799,189,59,91,122,225,1148
109,85,40,7,47,81,473
69,48,28,7,27,61,358
40,37,12,0,20,20,115
1082,144,75,228,274,287,1503
125,48,26,11,46,91,446
112,44,23,9,43,78,388
13,4,3,2,3,13,58
335,61,27,10,72,191,437
18,13,8,3,14,12,58
8,8,3,2,9,7,22
10,5,5,1,5,5,36
142,137,52,15,75,70,411
110,109,40,11,56,53,297
32,28,12,4,19,17,114
378,32,36,48,66,145,487
95,7,7,11,13,43,131
283,25,29,37,53,102,356
167,37,13,35,30,132,270
14,9,1,0,4,12,13
12,0,0,1,3,5,11
42,0,1,10,9,10,53
397,10,25,97,68,194,461
529,472,141,55,218,145,1401
345,48,14,50,63,183,474
87,8,5,29,15,54,105
517,84,53,23,71,251,840
79,113,19,2,64,48,385
4,11,1,0,7,5,37
75,102,18,2,57,43,348
34,27,19,2,11,39,93
26,17,10,2,5,25,70
8,10,9,0,6,14,23
222,413,60,6,163,151,931
8,14,3,2,11,7,20
1,2,0,0,1,0,1
4,6,3,2,2,2,7
3,6,0,0,8,5,12
22,4,2,4,13,21,23
20,4,2,4,13,19,21
2,0,0,0,0,2,2
401,300,132,43,259,197,1667
35,42,14,6,26,16,149
366,258,118,37,233,181,1518
554,651,125,77,261,119,2258
3,5,3,0,5,3,18
555,84,71,21,91,179,1235
362,52,43,9,61,112,840
193,32,28,12,30,67,395
104,24,10,9,27,58,124
19,1,4,0,6,10,37
703,137,63,98,136,205,1301
356,158,45,40,105,178,994
288,101,62,71,76,203,372
223,83,53,58,62,157,284
65,18,9,13,14,46,88
282,470,105,18,200,191,1270
478,58,79,29,82,230,741
372,47,37,52,77,170,623
395,48,44,66,63,255,511
48,63,11,1,26,32,130
128,48,21,43,62,126,256
353,369,82,5,145,145,1619
229,150,40,39,129,237,776
2,0,0,0,0,1,0
45,17,11,4,11,45,146
144,32,14,37,40,125,207
352,21,16,62,75,152,336
704,120,37,94,223,213,1408
66,39,21,6,34,80,324
18,15,3,1,10,14,28
2,0,0,0,4,0,0
16,15,3,1,6,14,28
445,724,145,35,195,142,824
264,158,83,71,79,102,688
111,89,26,12,42,76,374
45,6,2,4,15,26,53
383,52,32,45,58,177,639
4,2,0,0,1,0,7
468,66,55,63,136,234,1343
286,40,28,46,86,146,839
182,26,27,17,50,88,504
19,0,1,2,6,14,44
19,0,1,2,6,14,44
0,0,0,0,0,0,0
17,26,11,1,17,16,113
2,7,6,0,2,5,31
1,3,1,1,3,3,16
14,16,4,0,12,8,66
