TRB,AST,STL,BLK,PTS,TOV,PF
108,40,29,9,350,28,91
715,43,26,158,704,99,209
507,18,18,101,478,67,145
208,25,8,57,226,32,64
80,72,18,9,357,54,53
55,13,10,9,113,14,25
464,158,30,131,946,145,285
400,40,36,39,689,92,132
627,203,115,82,1135,125,281
205,226,69,26,964,101,222
445,193,60,36,912,108,165
175,20,14,21,244,30,92
61,7,10,9,97,12,37
114,13,4,12,147,18,55
260,330,85,24,805,113,204
191,280,79,18,587,156,153
207,51,19,38,447,95,199
799,189,59,91,1148,122,225
109,85,40,7,473,47,81
69,48,28,7,358,27,61
40,37,12,0,115,20,20
1082,144,75,228,1503,274,287
125,48,26,11,446,46,91
112,44,23,9,388,43,78
13,4,3,2,58,3,13
335,61,27,10,437,72,191
18,13,8,3,58,14,12
8,8,3,2,22,9,7
10,5,5,1,36,5,5
142,137,52,15,411,75,70
110,109,40,11,297,56,53
32,28,12,4,114,19,17
378,32,36,48,487,66,145
95,7,7,11,131,13,43
283,25,29,37,356,53,102
167,37,13,35,270,30,132
14,9,1,0,13,4,12
12,0,0,1,11,3,5
42,0,1,10,53,9,10
397,10,25,97,461,68,194
529,472,141,55,1401,218,145
345,48,14,50,474,63,183
87,8,5,29,105,15,54
517,84,53,23,840,71,251
79,113,19,2,385,64,48
4,11,1,0,37,7,5
75,102,18,2,348,57,43
34,27,19,2,93,11,39
26,17,10,2,70,5,25
8,10,9,0,23,6,14
222,413,60,6,931,163,151
8,14,3,2,20,11,7
1,2,0,0,1,1,0
4,6,3,2,7,2,2
3,6,0,0,12,8,5
22,4,2,4,23,13,21
20,4,2,4,21,13,19
2,0,0,0,2,0,2
401,300,132,43,1667,259,197
35,42,14,6,149,26,16
366,258,118,37,1518,233,181
554,651,125,77,2258,261,119
3,5,3,0,18,5,3
555,84,71,21,1235,91,179
362,52,43,9,840,61,112
193,32,28,12,395,30,67
104,24,10,9,124,27,58
19,1,4,0,37,6,10
703,137,63,98,1301,136,205
356,158,45,40,994,105,178
288,101,62,71,372,76,203
223,83,53,58,284,62,157
65,18,9,13,88,14,46
282,470,105,18,1270,200,191
478,58,79,29,741,82,230
372,47,37,52,623,77,170
395,48,44,66,511,63,255
48,63,11,1,130,26,32
128,48,21,43,256,62,126
353,369,82,5,1619,145,145
229,150,40,39,776,129,237
2,0,0,0,0,0,1
45,17,11,4,146,11,45
144,32,14,37,207,40,125
352,21,16,62,336,75,152
704,120,37,94,1408,223,213
66,39,21,6,324,34,80
18,15,3,1,28,10,14
2,0,0,0,0,4,0
16,15,3,1,28,6,14
445,724,145,35,824,195,142
264,158,83,71,688,79,102
111,89,26,12,374,42,76
45,6,2,4,53,15,26
383,52,32,45,639,58,177
4,2,0,0,7,1,0
468,66,55,63,1343,136,234
286,40,28,46,839,86,146
182,26,27,17,504,50,88
19,0,1,2,44,6,14
19,0,1,2,44,6,14
0,0,0,0,0,0,0
17,26,11,1,113,17,16
2,7,6,0,31,2,5
1,3,1,1,16,3,3
14,16,4,0,66,12,8
124,203,48,2,542,82,89
252,121,93,20,885,76,130
949,295,85,40,1640,189,257
318,107,78,28,1013,108,180
78,130,17,11,250,58,61
20,14,5,2,10,8,9
58,116,12,9,240,50,52
709,187,55,139,1542,204,251
248,7,10,53,430,41,117
658,136,43,23,842,117,136
247,305,60,9,620,116,173
373,172,51,4,1387,168,231
121,1,9,11,77,17,59
52,2,3,8,101,15,32
477,107,69,61,898,99,141
23,2,0,3,10,2,17
68,16,11,1,141,19,48
47,9,8,0,90,13,36
21,7,3,1,51,6,12
546,109,72,61,667,91,186
164,111,46,6,946,92,96
94,57,23,4,436,35,51
70,54,23,2,510,57,45
13,2,1,1,13,4,5
162,137,30,14,501,59,99
191,124,64,15,769,93,152
401,39,36,38,513,68,175
70,17,12,7,123,19,46
129,266,40,10,382,85,115
38,81,13,2,134,28,33
91,185,27,8,248,57,82
311,242,98,17,1432,176,174
400,81,60,39,453,70,181
455,83,43,32,446,79,147
243,14,16,101,386,51,122
94,99,15,14,245,44,40
5,6,0,2,19,1,2
89,93,15,12,226,43,38
79,11,5,4,38,17,35
61,8,4,3,30,10,32
18,3,1,1,8,7,3
127,44,17,16,179,19,74
99,39,18,5,281,25,52
72,22,13,4,169,20,33
27,17,5,1,112,5,19
35,3,4,9,39,10,20
4,1,1,1,5,0,3
31,2,3,8,34,10,17
168,105,58,17,622,81,190
151,47,22,34,215,35,82
18,4,4,1,16,2,7
133,43,18,33,199,33,75
266,445,93,9,1146,173,169
399,154,44,29,719,107,189
336,212,39,12,586,115,131
2,5,0,0,26,4,6
559,131,64,99,954,116,285
304,28,15,43,459,53,105
191,49,34,30,296,23,69
69,36,5,13,115,21,60
38,2,5,3,62,12,34
32,18,3,2,74,10,17
259,104,65,16,899,84,158
10,1,2,0,14,4,13
737,150,72,34,1050,100,175
183,135,46,16,746,91,126
98,84,28,12,454,65,77
85,51,18,4,292,26,49
115,29,26,14,157,25,94
38,15,9,2,49,12,33
77,14,17,12,108,13,61
268,892,42,12,1333,295,108
194,353,48,2,818,139,147
89,25,10,17,163,16,54
704,132,32,100,687,117,198
222,75,32,26,635,67,160
33,6,7,2,113,2,21
620,218,70,79,2027,149,208
11,1,2,4,19,5,12
486,92,25,95,950,125,212
355,80,15,62,636,105,169
105,51,11,9,83,36,121
178,19,8,48,233,39,84
802,267,75,59,882,150,227
742,55,54,127,850,111,218
515,119,38,81,988,127,223
25,20,9,0,44,6,16
121,34,18,17,309,32,43
38,8,7,8,109,12,13
83,26,11,9,200,20,30
293,42,37,31,333,58,186
78,89,29,2,344,50,68
231,157,63,18,595,71,151
135,317,29,8,894,149,96
191,480,96,8,841,112,118
117,58,23,6,263,53,84
124,11,9,14,197,32,55
595,80,26,132,791,165,219
126,41,25,5,327,27,81
129,14,10,13,122,23,80
310,218,84,31,1296,166,196
215,49,53,31,651,69,138
329,117,42,19,399,51,204
61,0,6,2,79,11,36
116,35,9,6,169,33,71
88,106,35,3,410,59,53
74,123,40,13,255,56,109
248,161,34,22,661,60,77
238,8,8,43,123,39,95
16,29,9,1,56,10,15
178,45,29,7,256,44,97
29,7,3,1,39,5,18
149,38,26,6,217,39,79
215,42,28,51,384,49,92
14,1,1,1,14,3,9
13,0,1,1,10,2,9
1,1,0,0,4,1,0
950,149,80,34,1681,174,226
157,25,12,61,178,41,87
40,9,3,18,34,16,27
117,16,9,43,144,25,60
54,39,19,2,215,15,24
155,158,28,4,788,63,118
59,7,8,4,37,14,50
404,143,66,33,1239,92,169
374,93,70,18,678,62,169
143,324,54,7,852,106,182
110,163,49,5,567,73,116
72,112,27,5,397,53,66
38,51,22,0,170,20,50
89,212,50,5,434,114,84
50,121,29,3,234,59,46
39,91,21,2,200,55,38
