TRB%,AST%,STL%,BLK%,TOV%,PF,PTS
23.2,2.8,1.4,1.4,19.2,21,23
26.5,5.4,1.9,1.3,25.2,12,11
19.8,0,1,1.4,13,9,12
5.6,16.6,2,0.2,11.6,116,481
6.6,9.5,1.7,0.8,13.1,101,657
6.7,24.1,1.7,0.4,18.3,131,635
8,7.9,2,0.6,11,162,674
4.9,25.9,1.5,0.1,18.2,83,494
18.9,17.8,1,3.5,10.1,152,1395
8.7,11.3,1.3,0.7,10.3,105,666
11,13.5,1.8,1.9,11.7,171,2472
6.4,8.3,0.7,0.3,13.4,72,505
5.4,21.2,2.6,0.7,13.4,189,1631
12.1,4.3,0.8,0,5.5,7,12
11.9,4.6,0.8,0,6.7,7,10
14.7,0,0,0,0,0,2
6.8,5.5,1.4,1,4.5,125,453
19.9,3.7,2.3,1,18.7,44,95
8.1,26.1,2.1,0.7,13.6,204,1450
5,13.4,1.8,0.6,11.5,109,591
6.6,29.5,2.5,0.7,15.4,172,968
7,13.8,2.4,0.6,13.4,87,503
13.1,5.3,0.8,3.7,16.7,78,128
6,9.2,0.7,0.6,9.9,33,202
5.6,6.8,0.8,0.7,11.4,12,93
6.4,12.2,0.7,0.5,8.2,21,109
4.3,12.9,2.1,0.3,11.2,202,615
4.6,24.7,1.8,0.1,17.9,98,1094
6.8,24.8,1.8,0.7,15.9,102,484
17.3,12.1,0.6,1.1,21.9,45,49
4.5,22.6,1,0.5,12.1,123,704
11,7.4,1.5,2.4,8.8,263,904
16.6,6,1.5,3.3,13,63,88
7.9,28,2.8,0,12,17,106
8.2,7.6,1.4,1.6,9.4,191,1221
6.6,12.1,0.9,2.4,10.3,49,202
15.1,15.7,1.7,2.2,10.4,170,990
15.1,10.2,1.4,3.4,14.2,254,1008
17.1,15,0.8,3.5,12.5,152,1190
8.7,7.8,1.9,1.5,10.3,201,1567
10.4,6.4,2,0.4,12.2,13,81
8.3,5.8,2.6,0.9,6.5,89,242
4.1,9.8,1.2,0.5,11.1,79,355
15.4,5,1.2,3.6,13.9,282,735
12.5,8.2,1.9,0.6,19.5,29,69
12.4,8.9,2.1,0.8,21,10,24
12.6,7.7,1.8,0.5,18.6,19,45
11.7,0,10.3,0,0,0,2
7.7,28.2,2.5,0.8,12.7,154,1237
8.8,8.8,1.4,0.5,10.8,155,832
17.8,4.4,1.2,2.5,13.4,194,763
17.6,4,1.3,3.6,12.7,129,408
18.1,5,1.1,0.8,14.3,65,355
4.2,16.7,1.5,0.3,12.9,147,855
4.2,13.8,1.6,0.5,13.6,96,1045
18.1,2.4,0.8,4.8,15,138,293
9.3,4.5,1.5,0.7,15.5,104,266
10.1,5,1.3,1,11.8,94,296
8.2,13.6,2,1.6,10.6,183,1497
19.8,10.6,1.5,2.7,16,54,104
17.8,6.5,0,0,4,10,18
20.2,11.4,1.8,3.2,19.5,44,86
8.8,6.7,2.7,2,10.7,9,40
9.2,7.2,1.8,1.8,10.4,221,1239
4.9,15.8,1.1,0.6,10.1,135,638
8.2,6.8,1.3,2.4,13.1,150,647
3.5,4.3,0,4.4,7.8,4,10
18.2,5.9,0.2,4.4,22.1,57,62
9.1,7.5,0.7,2,11,29,99
13.3,0,0,3.3,11.5,5,25
4.8,23.5,1,0.2,12.3,115,831
14.7,9,1.6,1.1,7.1,70,246
8.1,12.3,2.4,0.9,13.4,200,753
10.5,8.6,1.4,0.9,10.1,209,1276
5.3,34.6,1.9,0.6,14.7,178,1080
14.3,4.8,2.7,0.8,20.5,14,29
14,5.6,2.5,0.9,22.5,10,25
16.4,0,3.7,0,0,4,4
5.3,36.4,4.6,3.5,60,4,2
0,25.5,10,0,0,0,0
6.9,39.6,3,4.5,75,4,2
17,3.9,0.7,0.9,9.5,174,771
7.9,7.2,0.8,0.6,15.9,91,232
13.1,13.2,0.9,3.2,15.5,200,723
15,11.4,2.1,1.8,17.1,219,358
6,6.7,1.5,0.6,7.7,91,350
17.5,2.8,0.6,5.1,14.2,209,704
18.1,1.7,0.6,4.8,14.2,145,478
16.1,5,0.6,5.8,14.1,64,226
5.4,14.8,1.1,0.8,13.8,53,357
9.3,6,1.5,2.1,10.1,25,113
12.4,13.5,0.7,4.6,14.1,285,946
14.1,3.9,1.1,1.8,13.4,132,689
13.1,11.6,2.1,2.2,12.2,281,1135
5.3,15.5,1.6,0.8,10.7,222,964
10.3,11.2,1.2,1,11.7,165,912
16,5.2,1.1,2.5,11.5,92,244
13.8,4.5,2,2.7,10.6,37,97
17.6,5.6,0.5,2.3,12.2,55,147
5.8,20.5,1.8,0.7,12.3,204,805
6.4,24.4,2.3,0.8,21.9,153,587
9.5,6.4,0.8,2.3,20.3,199,447
16.4,10.4,1.1,2.4,11.2,225,1148
5.3,11,1.7,0.5,9,81,473
5,9.2,1.7,0.7,7.4,61,358
6.1,14.9,1.7,0,12.6,20,115
22,8.7,1.4,6,18.7,287,1503
7.8,8.5,1.5,0.9,9.3,91,446
7.8,8.5,1.4,0.8,9.8,78,388
8.2,8.2,1.7,1.7,5.2,13,58
12.7,5.9,0.9,0.5,15.1,191,437
8.2,15.7,3.2,1.8,19.3,12,58
7,17.1,2.2,2.3,30.4,7,22
9.6,14.1,4.2,1.2,11.6,5,36
7.3,18.9,2.4,1,14.7,70,411
7.6,20.1,2.5,1,15.1,53,297
6.5,15.8,2.2,1.1,13.5,17,114
17.8,4.5,1.5,2.9,11.8,145,487
17.3,3.6,1.2,2.6,8.8,43,131
18,4.8,1.7,3,12.9,102,356
11.9,6.7,0.8,3.2,10.8,132,270
6.4,10.1,0.4,0,11.5,12,13
21.2,0,0,2.3,17.9,5,11
15.5,0,0.3,4.8,13.3,10,53
17.2,1.2,1,5.5,14.2,194,461
9.8,23.7,2.3,1.4,14.3,145,1401
